CaseOrder,Customer_id,City,State,County,Zip,Lat,Lng,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,item1,item2,item3,item4,item5,item6,item7,item8
11,J980369,Little Meadows,PA,Susquehanna,18830,41.95142,-76.10744,555,Urban,America/New_York,"Teacher, special educational needs",7.0,23.0,Regular High School Diploma,Full Time,39936.76222636489,Separated,Female,No,11.83511269,9,0,2,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Mailed Check,19.26726194,177.451599,2728.7678690000002,4,4,4,7,3,3,3,4
12,E243720,Corozal,PR,Corozal,783,18.3041,-66.32847,33372,Rural,America/Puerto_Rico,Maintenance engineer,2.0,56.0,Bachelor's Degree,Full Time,18342.12,Married,Female,No,5.08282075,17,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,Electronic Check,34.49885764604514,148.36408740000002,1180.588788,4,4,3,4,4,4,3,4
13,F139569,Conesville,IA,Muscatine,52739,41.37287,-91.36865,556,Rural,America/Chicago,"Engineer, broadcasting (operations)",0.0,83.0,Master's Degree,Retired,83671.08,Divorced,Male,No,7.265960814,9,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),13.01149229,136.4312394,1196.3880179999999,1,2,1,4,3,2,3,3
14,X44200,East Livermore,ME,Androscoggin,4228,44.432559999999995,-70.11501,0,Urban,America/New_York,Learning disability nurse,5.0,53.27574750830565,No Schooling Completed,Retired,115114.57,Separated,Female,No,6.568343833999999,14,1,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Bank Transfer(automatic),16.87922024,185.65929419999998,1948.694497,5,6,5,2,4,5,4,4
15,H68068,Hillside,IL,Cook,60162,41.86752,-87.90222,8165,Urban,America/Chicago,Automotive engineer,0.0,30.0,Associate's Degree,Full Time,64256.81,Separated,Male,Yes,12.63069124,10,3,0,No,Month-to-month,No,No,DSL,No,Yes,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),10.06019902,160.80554180000001,3398.8427520151345,3,3,4,2,3,4,4,2
16,A403906,Saint Germain,WI,Vilas,54558,45.92342,-89.50138000000001,2093,Suburban,America/Chicago,Amenity horticulturist,0.0,39.0,Bachelor's Degree,Full Time,89061.45,Divorced,Male,Yes,9.48221912,13,1,0,No,One year,No,No,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,13.87001293,176.3345094,1840.0144670000002,3,3,3,2,4,3,5,2
17,V847470,Modesto,CA,Stanislaus,95351,37.623259999999995,-120.99637,50079,Urban,America/Los_Angeles,Applications developer,0.0,63.0,"Some College, 1 or More Years, No Degree",Retired,31659.3,Married,Female,Yes,14.42916512,13,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),15.78214958,195.8726039,2070.376729,3,4,4,3,5,4,4,3
18,F721878,Parkton,NC,Robeson,28371,34.90636,-78.98944,7249,Rural,America/New_York,Immunologist,0.0,60.0,"9th Grade to 12th Grade, No Diploma",Retired,44142.81,Separated,Male,Yes,10.21790303,16,3,0,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,34.49885764604514,203.06959730000003,882.0985933000001,2,2,4,3,3,4,3,3
19,F487435,Oakland,TN,Fayette,38060,35.2091,-89.50332,9463,Rural,America/Chicago,"Engineer, electrical",3.0,61.0,Regular High School Diploma,Full Time,39262.14,Widowed,Female,No,11.10106846,11,1,0,Yes,Two Year,Yes,No,None,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Bank Transfer(automatic),17.10995632,154.0171018,1833.0967,3,4,3,4,3,2,3,5
20,B561228,Trafford,AL,Blount,35172,33.84469,-86.6974,3177,Rural,America/Chicago,Broadcast presenter,3.0,23.0,Associate's Degree,Part Time,19494.75,Divorced,Male,Yes,11.08853215,10,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),12.80615845,150.1107392,1954.080809,5,5,5,4,4,4,3,3
21,X325271,Kaneville,IL,Kane,60144,41.83594,-88.5206,69,Rural,America/Chicago,Counsellor,4.0,53.27574750830565,Nursery School to 8th Grade,Retired,39624.21,Never Married,Male,No,12.18669792,14,0,3,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),20.45390977,185.096264,2330.319383,2,3,3,2,4,2,3,3
22,I282896,Columbus,OH,Franklin,43215,39.966359999999995,-83.01286,14440,Suburban,America/New_York,Geophysical data processor,3.0,30.0,Regular High School Diploma,Retired,39936.76222636489,Divorced,Male,No,6.520830557999999,18,1,0,No,Two Year,No,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,No,No,Bank Transfer(automatic),2.415991977,127.03177659999999,594.1054279,5,5,4,4,3,4,3,5
23,I367206,Mallard,IA,Palo Alto,50562,42.961529999999996,-94.64179,381,Urban,America/Chicago,"Designer, multimedia",0.0,52.0,"9th Grade to 12th Grade, No Diploma",Full Time,27442.03,Widowed,Male,No,9.970974396,16,1,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,6.652298992,125.56230179999999,713.0633088,3,3,3,2,2,3,5,5
24,N37182,Baileyville,ME,Washington,4694,45.10333,-67.47223000000001,2193,Urban,America/New_York,Event organiser,2.0,68.0,Bachelor's Degree,Full Time,79699.62,Divorced,Male,No,7.490198816,9,0,0,No,One year,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Electronic Check,8.543717478,150.3295122,945.3802927999999,4,4,3,5,3,4,4,3
25,U644626,Williamsburg,OH,Clermont,45176,39.08339,-84.02314,9434,Rural,America/New_York,Equality and diversity officer,3.0,75.0,Regular High School Diploma,Full Time,28520.32,Widowed,Female,Yes,14.54825704,15,1,0,No,Month-to-month,No,Yes,None,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Credit Card (automatic),5.770390256000001,163.31240549999998,870.7639800000001,3,3,4,2,4,4,3,4
26,A766555,Saint Augustine,FL,St. Johns,32086,29.75675,-81.30311,29568,Suburban,America/New_York,Counsellor,1.0,77.0,GED or Alternative Credential,Full Time,12558.83,Separated,Male,Yes,11.37952059,12,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,No,No,No,No,Bank Transfer(automatic),4.157658837,94.06699355,774.2937069,4,4,4,4,2,4,5,5
27,V54032,Tohatchi,NM,McKinley,87325,36.00209,-108.62285,3089,Rural,America/Denver,Psychiatrist,0.0,47.0,Bachelor's Degree,Retired,8762.23,Married,Female,Yes,16.1723942,15,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Mailed Check,10.40566091,222.9597637,1506.446527,5,3,5,3,3,5,4,4
28,Z301326,Erie,MI,Monroe,48133,41.7812,-83.48594,5652,Urban,America/Detroit,"Surveyor, commercial/residential",0.0,70.0,Master's Degree,Part Time,43882.72,Widowed,Female,Yes,15.8467065,12,0,0,No,Month-to-month,Yes,No,None,No,No,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,1.3924215969999998,141.092117,419.0508708,2,2,3,4,4,2,2,2
29,J887250,Moretown,VT,Washington,5660,44.24718,-72.74136999999999,1716,Urban,America/New_York,Civil Service administrator,3.0,53.27574750830565,Regular High School Diploma,Full Time,39936.76222636489,Separated,Female,Yes,43.92705189,13,2,0,Yes,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Bank Transfer(automatic),34.49885764604514,230.62376459999996,1259.415493,3,4,3,3,2,4,4,2
30,Z686376,Silver Spring,MD,Montgomery,20902,39.04373,-77.04224,52484,Suburban,America/New_York,"Radiographer, diagnostic",4.0,69.0,Bachelor's Degree,Student,39936.76222636489,Never Married,Male,Yes,12.35437248,18,1,0,No,Two Year,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),5.425864884,259.3879183,1745.1259559999999,4,4,4,3,2,5,5,4
31,L357432,Whitesboro,NY,Oneida,13492,43.11988,-75.32875,11268,Urban,America/New_York,Air traffic controller,9.0,45.0,No Schooling Completed,Part Time,43383.54,Married,Male,No,7.472844182,14,0,0,No,Two Year,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,Yes,Credit Card (automatic),11.08287797,230.9648914,1795.465729,3,2,1,5,3,3,3,2
32,V899967,Sherwood,OH,Defiance,43556,41.30608,-84.56989,1765,Rural,America/New_York,Dietitian,0.0,40.0,"9th Grade to 12th Grade, No Diploma",Unemployed,21793.88,Never Married,Female,No,4.776157747,13,2,0,No,Two Year,No,Yes,None,Yes,Yes,No,Yes,No,No,No,No,No,Electronic Check,34.49885764604514,147.8152871,492.4771472,2,3,4,3,3,2,4,3
33,G571225,Pe Ell,WA,Lewis,98572,46.5512,-123.32437,680,Rural,America/Los_Angeles,"Therapist, occupational",6.0,82.0,GED or Alternative Credential,Retired,51960.51,Divorced,Female,Yes,8.913416857,9,0,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Electronic Check,4.727388465,230.2438882,1013.993166,4,4,4,5,2,5,3,5
34,S381541,Seney,MI,Schoolcraft,49883,46.43517,-86.01334,136,Rural,America/Detroit,Building services engineer,5.0,53.27574750830565,Regular High School Diploma,Full Time,39936.76222636489,Separated,Male,Yes,11.99819427,8,1,1,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Electronic Check,20.89923386,175.8247451,3398.8427520151345,5,5,4,3,5,3,4,1
35,R195593,Chatsworth,IL,Livingston,60921,40.73772,-88.28785,1517,Urban,America/Chicago,Information officer,0.0,53.27574750830565,Bachelor's Degree,Full Time,11211.59,Widowed,Male,Yes,5.312361826,15,1,0,No,One year,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,3.471329958,267.4362279,1081.8143619999998,6,5,5,5,2,6,5,5
36,I327596,Albion,MI,Calhoun,49224,42.28109,-84.75184,14103,Suburban,America/Detroit,Outdoor activities/education manager,1.0,52.0,"9th Grade to 12th Grade, No Diploma",Full Time,8283.29,Never Married,Male,Yes,13.92937482,11,0,1,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Mailed Check,5.478588203999999,162.6090148,1209.961168,4,2,3,4,3,3,4,3
37,U790894,Marlborough,CT,Hartford,6447,41.63306,-72.45472,6394,Suburban,America/New_York,Market researcher,2.0,26.0,Regular High School Diploma,Full Time,10114.81,Never Married,Female,Yes,44.72520233,16,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit Card (automatic),3.3129918089999997,258.40816540000003,897.5919144,4,3,5,5,2,4,5,5
38,O739489,Lafayette,NJ,Sussex,7848,41.103359999999995,-74.68406999999999,5059,Urban,America/New_York,"Surveyor, insurance",1.0,25.0,Bachelor's Degree,Full Time,39936.76222636489,Never Married,Female,No,8.15350077,9,2,0,No,One year,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Electronic Check,7.161561527000001,138.7077155,1340.9301560000001,5,6,4,2,5,3,3,3
39,I958127,Washington,DC,District of Columbia,20017,38.93845,-76.99316999999999,20450,Suburban,America/New_York,Office manager,1.0,66.0,"Some College, Less than 1 Year",Full Time,25397.44,Divorced,Female,No,17.68357553,12,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Credit Card (automatic),9.847563363999999,185.80724809999998,1113.993679,4,4,3,4,2,4,4,5
40,Z666770,Dublin,PA,Bucks,18917,40.37305,-75.2041,2123,Suburban,America/New_York,Editorial assistant,1.0,72.0,Regular High School Diploma,Full Time,50336.5,Divorced,Male,No,7.790281114,10,1,1,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,Electronic Check,16.04202196,147.29118789999998,1530.10769,3,4,3,6,4,4,6,2
41,X711438,Mantoloking,NJ,Ocean,8738,40.02145,-74.06183,1164,Urban,America/New_York,Customer service manager,3.0,53.27574750830565,Regular High School Diploma,Full Time,38211.37,Divorced,Female,No,38.90533531,12,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Mailed Check,9.179779682000001,199.93412619999998,3398.8427520151345,5,2,3,3,3,5,4,4
42,U369541,Sproul,PA,Blair,16682,40.26608,-78.45782,23,Suburban,America/New_York,"Production designer, theatre/television/film",3.0,53.27574750830565,"Some College, 1 or More Years, No Degree",Retired,52887.26,Married,Male,No,6.522328696000001,16,2,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,Electronic Check,34.49885764604514,105.9429467,892.8964931,3,3,2,3,5,4,3,3
43,S896111,Springer,OK,Carter,73458,34.35204,-97.25336,895,Suburban,America/Chicago,Analytical chemist,4.0,41.0,Master's Degree,Full Time,12003.33,Divorced,Male,Yes,11.1979215,11,1,2,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Credit Card (automatic),3.924254455,253.7918326,1125.581944,3,3,3,5,1,4,3,4
44,K227200,Homer City,PA,Indiana,15748,40.52449,-79.08431999999999,6699,Suburban,America/New_York,Print production planner,4.0,53.27574750830565,"Some College, Less than 1 Year",Retired,24090.62,Never Married,Male,No,8.561096928,13,0,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,18.55959629,192.76227680000002,2016.7100309999998,3,3,3,3,4,3,3,4
45,E818912,New York,NY,New York,10035,40.7955,-73.92968,35743,Rural,America/New_York,Psychiatrist,0.0,53.27574750830565,"Some College, 1 or More Years, No Degree",Full Time,39936.76222636489,Never Married,Female,Yes,13.89466275,6,0,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Credit Card (automatic),8.798394712,243.3707028,1412.736809,4,4,4,4,3,4,3,4
46,Y490834,Sagola,MI,Dickinson,49881,46.07835,-88.03348000000001,320,Urban,America/Menominee,"Conservation officer, nature",2.0,44.0,Regular High School Diploma,Full Time,39936.76222636489,Divorced,Female,Yes,10.87564115,5,1,0,No,Month-to-month,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,10.377366,245.4671211,3398.8427520151345,3,3,2,2,4,3,5,2
47,B609739,Peoria,IL,Peoria,61606,40.6998,-89.61143,7870,Suburban,America/Chicago,Broadcast presenter,0.0,23.0,Associate's Degree,Retired,132116.33,Divorced,Male,Yes,12.60910718,11,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),22.25746016,185.07194040000002,2384.885909,4,4,5,2,2,4,3,3
48,E687638,Acme,WA,Whatcom,98220,48.68497,-122.19691999999999,861,Suburban,America/Los_Angeles,Applications developer,0.0,43.0,Regular High School Diploma,Full Time,37358.13,Never Married,Female,Yes,9.315148629,11,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Credit Card (automatic),9.427146079,194.57131569999999,1213.940165,4,5,3,4,3,3,4,3
49,E492264,Chattanooga,TN,Hamilton,37416,35.104440000000004,-85.17661,15364,Rural,America/New_York,"Librarian, public",0.0,86.0,"Some College, 1 or More Years, No Degree",Part Time,26534.16,Separated,Female,No,8.561161123,11,2,2,No,Two Year,Yes,No,None,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),7.760290062,105.6553743,740.010722,3,4,3,2,3,3,3,3
50,W255321,Harvey,ND,Wells,58341,47.77527,-99.85,2589,Suburban,America/Chicago,Financial adviser,2.0,84.0,Bachelor's Degree,Full Time,39936.76222636489,Married,Female,No,12.37711977,14,0,1,No,Month-to-month,No,Yes,None,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,11.56938439,92.42950948,897.9716152999999,3,3,4,3,5,3,3,4
51,S72442,Goodwater,AL,Coosa,35072,33.08977,-86.06138,4901,Urban,America/Chicago,"Surveyor, building",2.0,53.27574750830565,"9th Grade to 12th Grade, No Diploma",Retired,39936.76222636489,Separated,Female,Yes,9.523347957,13,3,0,No,Month-to-month,Yes,No,DSL,No,Yes,No,No,Yes,Yes,No,Yes,No,Bank Transfer(automatic),3.343811019,185.545865,1026.387172,2,2,3,4,3,5,2,4
52,O845020,Lexington,NC,Davidson,27292,35.73451,-80.20925,39649,Urban,America/New_York,"Horticulturist, amenity",5.0,68.0,Doctorate Degree,Full Time,43820.85,Divorced,Female,Yes,8.546827521,12,1,0,No,Month-to-month,Yes,No,None,No,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),7.338869531,188.1878188,1234.244324,2,3,3,5,4,2,3,2
53,D805597,Transylvania,LA,East Carroll,71286,32.6644,-91.19645,456,Suburban,America/Chicago,Diagnostic radiographer,1.0,59.0,"9th Grade to 12th Grade, No Diploma",Student,38391.55,Never Married,Female,No,2.663660525,8,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,Electronic Check,5.486534225,148.41540580000003,727.3731845,4,4,4,3,4,2,5,4
54,R189303,Jolley,IA,Calhoun,50551,42.47954,-94.75105,94,Urban,America/Chicago,"Doctor, general practice",0.0,31.0,Regular High School Diploma,Full Time,44137.6,Separated,Female,Yes,8.505759564,6,0,0,Yes,One year,No,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),1.55278221,167.3108222,452.87215039999995,4,4,3,4,4,4,2,3
55,N142854,Miller,NE,Buffalo,68858,40.95947,-99.37702,315,Urban,America/Chicago,Insurance risk surveyor,0.0,51.0,"Some College, 1 or More Years, No Degree",Full Time,39936.76222636489,Widowed,Male,Yes,7.93962081,11,2,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Mailed Check,12.07970325,158.9035122,1296.6745429999999,4,2,4,5,4,3,3,4
56,F522569,Welch,WV,McDowell,24801,37.44262,-81.57762,4969,Suburban,America/New_York,Heritage manager,1.0,58.0,"Some College, 1 or More Years, No Degree",Full Time,62359.91,Separated,Female,No,12.13605498,11,1,1,No,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,No,No,Mailed Check,13.98666226,131.1822001,1840.628269,3,4,3,6,3,4,5,3
57,L384793,Alvin,TX,Brazoria,77511,29.38147,-95.24205,46869,Suburban,America/Chicago,Legal executive,1.0,73.0,"9th Grade to 12th Grade, No Diploma",Full Time,82634.86,Married,Male,Yes,9.531952076,11,0,1,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Electronic Check,9.563362997,116.09523300000001,1324.330108,5,4,3,5,3,3,5,4
58,C101444,Goleta,CA,Santa Barbara,93117,34.49127,-120.08221999999999,58431,Rural,America/Los_Angeles,Professor Emeritus,0.0,33.0,Bachelor's Degree,Full Time,15690.25,Widowed,Female,No,11.31019855,11,0,1,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Mailed Check,6.7329489460000005,142.3770231,958.1397059000001,4,5,5,5,4,4,4,5
59,E987442,Racine,WI,Racine,53403,42.68864,-87.82515,26182,Suburban,America/Chicago,Radio producer,1.0,53.27574750830565,Regular High School Diploma,Full Time,14568.7,Separated,Male,Yes,11.23344836,15,2,0,No,Two Year,Yes,No,None,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),15.72071086,221.1610613,3398.8427520151345,3,5,3,2,4,5,5,4
60,L54611,Chauncey,GA,Dodge,31011,32.12693,-83.06218,694,Rural,America/New_York,Barrister's clerk,0.0,49.0,"9th Grade to 12th Grade, No Diploma",Student,39936.76222636489,Never Married,Female,No,9.276154842,9,1,0,No,Two Year,No,No,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,Electronic Check,7.233605493,125.8287767,676.712908,5,5,3,4,4,5,5,4
61,L85018,Porum,OK,Muskogee,74455,35.3619,-95.26371,3093,Suburban,America/Chicago,"Engineer, automotive",1.0,26.0,"Some College, 1 or More Years, No Degree",Unemployed,55319.23,Never Married,Female,No,7.273891516,12,1,0,No,One year,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Mailed Check,2.8710170369999997,163.8522919,1086.990308,5,5,4,4,3,4,4,4
62,O942919,Delavan,IL,Tazewell,61734,40.37342,-89.52646,2765,Urban,America/Chicago,Recruitment consultant,1.0,25.0,Bachelor's Degree,Full Time,81831.49,Widowed,Male,No,39.88390274,10,3,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Electronic Check,2.3448753819999997,225.2947474,704.7540406,3,4,3,2,3,4,2,4
63,I167253,Harveys Lake,PA,Luzerne,18618,41.37478,-76.03486,3757,Rural,America/New_York,Commercial horticulturist,0.0,42.0,"Some College, 1 or More Years, No Degree",Full Time,100076.65,Separated,Female,Yes,8.599583947000001,14,3,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Mailed Check,7.960490246,150.2616031,1416.444695,5,5,5,4,3,2,4,4
64,R110564,Eagar,AZ,Apache,85925,34.088,-109.3232,4938,Rural,America/Phoenix,"Pharmacist, community",0.0,81.0,GED or Alternative Credential,Full Time,69965.65,Widowed,Male,No,5.487498047000001,15,0,0,No,Month-to-month,No,Yes,None,Yes,No,No,No,Yes,No,No,No,No,Mailed Check,12.25062113,91.90732298,1095.950634,5,5,5,3,4,3,2,5
65,M278354,Aulander,NC,Hertford,27805,36.20782,-77.08433000000001,3761,Suburban,America/New_York,Forest/woodland manager,0.0,43.0,Regular High School Diploma,Full Time,34883.69,Divorced,Female,No,14.22358433,13,0,0,Yes,Month-to-month,No,Yes,None,Yes,No,No,No,Yes,No,No,Yes,Yes,Electronic Check,34.49885764604514,128.16165690000003,1083.610268,4,4,4,3,4,4,3,3
66,W604879,Mokelumne Hill,CA,Calaveras,95245,38.29793,-120.62131000000001,1851,Urban,America/Los_Angeles,"Designer, graphic",2.0,53.27574750830565,"9th Grade to 12th Grade, No Diploma",Full Time,39936.76222636489,Never Married,Male,No,9.701727666,14,1,0,No,Two Year,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Bank Transfer(automatic),7.916533093,185.19467880000002,1570.641337,3,4,3,3,4,4,4,3
